Gender,Age_2,Marital,Parental,Education,Religion,Occupation,CoupleStatus,Income,CouplePeriod,NumCouple,NumCouple_2,Empathy_01,Respect_02,Distancing_03,Growth_04,Patience_05,Growth_06,Respect_07,Distancing_08,Growth_09,Empathy_10,Empathy_11,Patience_12,Growth_13,Patience_14,Respect_15,Distancing_16,Empathy_17,Respect_18,Patience_19,Growth_20,Respect_21,Patience_22,Extraversion_01,Extraversion_02,Extraversion_03,Extraversion_04,Neuroticism_05,Neuroticism_06,Neuroticism_07,Neuroticism_08,Openness_09,Openness_10,Openness_11,Openness_12,Agreeableness_13,Agreeableness_14,Agreeableness_15,Agreeableness_16,Conscientiousness_17,Conscientiousness_18,Conscientiousness_19,Conscientiousness_20,Avoidance_01,Dominance_02,Compromise_03,Accomodation_04,Collaboration_05,Avoidance_06,Dominance_07,Compromise_08,Accomodation_09,Collaboration_10,Avoidance_11,Dominance_12,Compromise_13,Accomodation_14,Collaboration_15,Avoidance_16,Dominance_17,Compromise_18,Accomodation_19,Collaboration_20,Avoidance_21,Dominance_22,Compromise_23,Accomodation_24,Collaboration_25,satisfaction_01,satisfaction_02,satisfaction_03,satisfaction_04,satisfaction_05,satisfaction_06,satisfaction_07,satisfaction_08,satisfaction_09,ADCRS,TD,PD,RD,GD,DD,Extraversion,Neuroticism,Openness,Agreeableness,Conscientiousness,Compromising,Integrating,Obliging,Avoiding,Dominating,PositiveStrategy,NegativeStrategy,CoupleSatisfaction
1,1,1,1,4,1,2,1,2,4,2,,5,4,5,6,6,5,6,4,5,6,6,5,5,6,5,3,5,4,5,6,5,5,4,2,2,3,2,2,3,1,2,2,2,2,3,4,4,4,3,3,4,3,3,2,4,4,4,2,2,3,4,4,3,3,4,4,4,3,2,4,4,4,3,2,3,4,4,4,3,4,5,4,4,4,4,4,112,27,22,24,27,12,11,8,8,15,13,18,20,20,14,11,38,25,36
1,1,1,1,4,1,2,1,5,8,5,5,6,6,5,7,7,5,6,7,7,7,7,7,7,7,6,6,6,5,7,7,6,6,4,4,4,4,1,1,4,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,4,3,4,2,4,3,3,140,34,26,29,33,18,16,8,12,16,16,15,20,17,19,18,35,37,30
1,1,1,1,3,2,1,1,3,4,1,,6,6,5,4,7,6,5,6,7,7,7,6,5,7,5,6,6,5,6,5,6,7,5,5,3,4,1,2,1,2,4,5,4,4,3,4,4,4,4,3,5,4,2,1,4,5,4,1,1,4,4,4,5,2,4,4,5,4,2,3,4,4,4,1,4,4,2,5,5,3,4,5,5,4,5,4,130,33,26,27,27,17,17,6,17,15,16,19,19,21,16,7,38,23,40
1,1,1,1,3,4,1,1,2,2,5,7,3,3,4,2,4,5,4,3,3,2,5,4,3,6,5,4,4,5,4,5,4,5,3,3,3,3,3,2,4,3,3,2,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,2,3,3,2,3,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,4,2,3,3,2,4,3,3,87,23,14,21,18,11,12,12,11,14,12,14,14,14,15,16,28,31,27
1,1,1,1,4,1,5,1,5,7,5,17,5,3,3,4,6,3,5,5,4,3,5,6,3,5,3,2,4,3,5,4,6,5,5,4,4,4,2,2,2,2,5,5,3,2,3,3,4,3,4,2,3,3,4,3,4,4,4,2,3,3,4,3,3,4,2,2,3,2,4,3,4,3,4,2,3,3,3,5,4,4,5,5,5,5,5,5,92,27,17,20,18,10,17,8,15,13,12,15,16,17,15,16,31,31,43
1,1,1,1,4,2,6,1,2,2,5,6,5,4,6,6,5,4,6,6,6,6,6,4,7,5,4,6,5,4,4,6,4,5,4,3,4,4,2,2,1,2,3,3,2,4,5,4,5,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,3,5,4,3,2,3,5,4,3,3,3,4,4,5,3,5,5,5,5,5,5,5,114,23,22,22,29,18,15,7,12,18,16,16,20,22,17,14,36,31,43
1,1,1,1,3,1,1,1,1,1,2,,6,4,5,4,3,4,5,5,3,6,5,3,4,5,3,5,7,3,4,4,5,5,3,2,2,3,1,2,1,3,3,4,3,3,4,1,5,3,3,2,2,3,4,1,3,4,4,2,1,4,4,5,4,4,4,4,5,3,1,4,3,4,4,1,5,4,3,4,4,4,4,4,4,4,5,5,98,20,24,20,19,15,10,7,13,13,10,20,21,19,17,8,41,25,38
1,1,1,1,4,1,2,1,2,2,5,15,4,4,4,4,3,5,2,6,5,6,5,3,5,3,2,6,6,2,3,5,4,4,4,4,4,3,1,1,1,1,4,3,4,3,3,2,4,3,4,4,4,3,1,1,3,4,4,1,1,3,4,4,3,1,4,4,4,1,2,3,4,4,4,2,3,4,4,4,3,3,3,4,2,4,3,3,91,16,21,14,24,16,15,4,14,12,15,16,20,20,10,7,36,17,29
1,1,1,1,3,1,1,1,4,4,5,6,4,3,5,5,4,4,4,4,4,5,5,3,5,3,4,4,4,4,4,5,3,3,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,4,2,89,17,18,18,23,13,16,8,16,16,16,19,20,20,19,18,39,37,27
1,1,1,1,5,2,2,1,2,6,3,,5,6,6,5,7,6,6,6,7,7,7,7,6,7,5,5,6,5,6,6,4,7,4,2,2,3,1,1,1,2,3,3,2,2,4,3,4,4,4,3,4,4,3,2,4,5,4,4,1,4,4,4,4,2,4,4,4,3,2,4,5,4,3,1,2,5,3,5,5,5,5,5,5,5,5,5,132,34,25,26,30,17,11,5,10,15,15,18,19,23,17,8,37,25,45
